fecha,zona,vel_km_h,vel_m_s,vel_mph,vel_nudos,racha_max_km_h,racha_max_m_s,racha_max_mph,racha_max_nudos,hora_racha,fecha_actualizacion
2015-02-06,acoruna,9,2.5,20.1324,17.4946,24.12,6.7,53.9549,46.8856,23:59:00,"2022-01-21 17:41:30"
2015-02-06,albacete,5.04,1.4,11.2742,9.79698,30.96,8.6,69.2555,60.1815,13:50:00,"2022-01-21 17:44:31"
2015-02-06,almeria,6.84,1.9,15.3006,13.2959,39.96,11.1,89.388,77.6761,14:50:00,"2022-01-21 17:44:31"
2015-02-06,zaragoza,9,2.5,20.1324,17.4946,43.92,12.2,98.2462,85.3737,17:00:00,"2022-01-21 17:44:31"
2015-02-07,acoruna,7.92,2.2,17.7165,15.3953,20.88,5.8,46.7072,40.5875,16:40:00,"2022-01-21 17:41:30"
2015-02-07,albacete,6.12,1.7,13.6901,11.8963,37.08,10.3,82.9456,72.0778,11:30:00,"2022-01-21 17:44:31"
2015-02-07,almeria,11.16,3.1,24.9642,21.6933,42.12,11.7,94.2198,81.8748,13:20:00,"2022-01-21 17:44:31"
2015-02-07,leon,19.08,5.3,42.6807,37.0886,41.04,11.4,91.8039,79.7754,18:10:00,"2022-01-21 17:44:31"
2015-02-07,zaragoza,10.08,2.8,22.5483,19.594,42.84,11.9,95.8304,83.2744,15:30:00,"2022-01-21 17:44:31"
2015-02-08,acoruna,7.92,2.2,17.7165,15.3953,36,10,80.5297,69.9785,15:50:00,"2022-01-21 17:41:30"
2015-02-08,albacete,6.12,1.7,13.6901,11.8963,28.08,7.8,62.8132,54.5832,15:00:00,"2022-01-21 17:44:31"
2015-02-08,almeria,12.96,3.6,28.9907,25.1922,36,10,80.5297,69.9785,14:50:00,"2022-01-21 17:44:31"
2015-02-08,leon,10.08,2.8,22.5483,19.594,45,12.5,100.662,87.4731,12:10:00,"2022-01-21 17:44:31"
2015-02-08,zaragoza,5.04,1.4,11.2742,9.79698,27,7.5,60.3973,52.4838,17:20:00,"2022-01-21 17:44:31"
2015-02-09,acoruna,16.92,4.7,37.849,32.8899,42.84,11.9,95.8304,83.2744,04:50:00,"2022-01-21 17:41:30"
2015-02-09,albacete,6.12,1.7,13.6901,11.8963,32.04,8.9,71.6714,62.2808,16:20:00,"2022-01-21 17:44:31"
2015-02-09,almeria,6.12,1.7,13.6901,11.8963,36,10,80.5297,69.9785,11:20:00,"2022-01-21 17:44:31"
2015-02-09,leon,16.92,4.7,37.849,32.8899,37.08,10.3,82.9456,72.0778,19:50:00,"2022-01-21 17:44:31"
2015-02-09,zaragoza,15.84,4.4,35.4331,30.7905,46.08,12.8,103.078,89.5724,14:30:00,"2022-01-21 17:44:31"
2015-02-10,acoruna,10.08,2.8,22.5483,19.594,30.96,8.6,69.2555,60.1815,05:50:00,"2022-01-21 17:41:30"
2015-02-10,albacete,6.12,1.7,13.6901,11.8963,34.92,9.7,78.1138,67.8791,14:10:00,"2022-01-21 17:44:31"
2015-02-10,almeria,2.88,0.8,6.44238,5.59828,28.08,7.8,62.8132,54.5832,13:50:00,"2022-01-21 17:44:31"
2015-02-10,leon,20.88,5.8,46.7072,40.5875,48.96,13.6,109.52,95.1707,06:50:00,"2022-01-21 17:44:31"
2015-02-10,zaragoza,6.84,1.9,15.3006,13.2959,39.96,11.1,89.388,77.6761,16:40:00,"2022-01-21 17:44:31"
2015-02-11,acoruna,6.12,1.7,13.6901,11.8963,24.12,6.7,53.9549,46.8856,02:20:00,"2022-01-21 17:41:30"
2015-02-11,albacete,5.04,1.4,11.2742,9.79698,65.16,18.1,145.759,126.661,02:50:00,"2022-01-21 17:44:31"
2015-02-11,almeria,1.08,0.3,2.41589,2.09935,55.08,15.3,123.21,107.067,00:10:00,"2022-01-21 17:44:31"
2015-02-11,zaragoza,12.96,3.6,28.9907,25.1922,56.88,15.8,127.237,110.566,09:40:00,"2022-01-21 17:44:31"
2015-02-12,acoruna,6.12,1.7,13.6901,11.8963,23.04,6.4,51.539,44.7862,07:50:00,"2022-01-21 17:41:30"
2015-02-12,albacete,11.16,3.1,24.9642,21.6933,25.92,7.2,57.9814,50.3845,14:00:00,"2022-01-21 17:44:31"
2015-02-12,almeria,2.88,0.8,6.44238,5.59828,20.88,5.8,46.7072,40.5875,15:10:00,"2022-01-21 17:44:31"
2015-02-12,zaragoza,3.96,1.1,8.85827,7.69763,10.08,2.8,22.5483,19.594,12:40:00,"2022-01-21 17:44:31"
2015-02-13,acoruna,11.88,3.3,26.5748,23.0929,52.92,14.7,118.379,102.868,09:20:00,"2022-01-21 17:41:30"
2015-02-13,albacete,5.04,1.4,11.2742,9.79698,29.88,8.3,66.8397,58.0821,11:30:00,"2022-01-21 17:41:30"
2015-02-13,almeria,3.96,1.1,8.85827,7.69763,24.12,6.7,53.9549,46.8856,21:50:00,"2022-01-21 17:44:31"
2015-02-13,leon,10.08,2.8,22.5483,19.594,60.12,16.7,134.485,116.864,02:50:00,"2022-01-21 17:44:31"
2015-02-14,acoruna,11.16,3.1,24.9642,21.6933,43.92,12.2,98.2462,85.3737,09:50:00,"2022-01-21 17:41:30"
2015-02-14,albacete,18,5,40.2649,34.9892,55.08,15.3,123.21,107.067,12:10:00,"2022-01-21 17:41:30"
